breed,wikipedia_url,description,thumbnail_path
Retrievers (Labrador),https://en.wikipedia.org/wiki/Labrador_Retriever,"The Labrador Retriever or simply Labrador is a British breed of retriever gun dog. It was developed in the United Kingdom from St. John's water dogs imported from the colony of Newfoundland (now a province of Canada), and was named after the Labrador region of that colony. It is among the most commonly kept dogs in several countries, particularly in the European world.",retrievers (labrador).jpg
French Bulldogs,https://en.wikipedia.org/wiki/French_Bulldog,"The French Bulldog (French: Bouledogue Français) is a French breed of companion dog or toy dog. It appeared in Paris in the mid-nineteenth century, apparently the result of cross-breeding of Toy Bulldogs imported from England and local Parisian ratters. It is commonly kept as a pet and is among the most frequently registered dogs in a number of countries including Australia, the United Kingdom, and the United States. The breed is susceptible to various health problems as a consequence of being bred for a distinctive appearance, sporting a brachycephalic face and skin wrinkles.",french bulldogs.jpg
German Shepherd Dogs,https://en.wikipedia.org/wiki/German_Shepherd,"The German Shepherd, also known in Britain as an Alsatian, is a German breed of working dog of medium to large size. The breed was developed by Max von Stephanitz using various traditional German herding dogs from 1899.",german shepherd dogs.jpg
Retrievers (Golden),https://en.wikipedia.org/wiki/Golden_Retriever,"The Golden Retriever is a Scottish breed of retriever dog of medium size. It is characterised by a gentle and affectionate nature and a striking golden coat. It is a working dog, and registration is subject to successful completion of a working trial. It is commonly kept as a pet and is among the most frequently registered breeds in several Western countries; some may compete in dog shows or obedience trials, or work as a guide dog.",retrievers (golden).jpg
Bulldogs,https://en.wikipedia.org/wiki/Bulldog_type,"Bulldogs are a type of dog that were traditionally used for the blood sports of baiting and dog fighting, but today are kept for other purposes, including companion dogs, guard dogs and catch dogs. Bulldogs are typically stocky, powerful, square-built animals with large, strong, brachycephalic-type muzzles. ""Bull"" is a reference that originated in England that refers to the sport of bull-baiting, which was a national sport in England between the 13th and 18th century. It is believed that bulldogs were developed during the 16th century in the Elizabethan era from the larger mastiffs, as smaller, more compact dogs were better suited for baiting.",bulldogs.jpg
Poodles,,,
Beagles,,,
Rottweilers,https://en.wikipedia.org/wiki/Rottweiler,"The Rottweiler (, UK also , German: [ˈʁɔtvaɪ̯lɐ] ) is a breed of domestic dog, regarded as medium-to-large or large. The dogs were known in German as Rottweiler Metzgerhund, meaning Rottweil butchers' dogs, because their main use was to herd livestock and pull carts laden with butchered meat to market. This continued until the mid-19th century when railways replaced droving. Although still used to herd stock in many parts of the world, Rottweilers are now also used as search and rescue dogs, guard dogs, and police dogs.",rottweilers.jpg
Pointers (German Shorthaired),,,
Dachshunds,https://en.wikipedia.org/wiki/Dachshund,"The dachshund  (UK:  DAKS-huund, -⁠ənd, -⁠huunt or US:  DAHKS-huunt, -⁠huund, -⁠ənt; German: 'badger dog'), also known as the wiener dog or sausage dog, badger dog and doxie, is a short-legged, long-bodied, hound-type dog breed. The dog may be smooth-haired, wire-haired, or long-haired, with varied coloration.",dachshunds.jpg
Pembroke Welsh Corgis,https://en.wikipedia.org/wiki/Pembroke_Welsh_Corgi,"The Pembroke Welsh Corgi (; Welsh for ""dwarf dog"") is a cattle herding dog breed that originated in Pembrokeshire, Wales. It is one of two breeds known as a Welsh Corgi, the other being the Cardigan Welsh Corgi. Pembroke Welsh Corgis descended from the Spitz family of dogs.",pembroke welsh corgis.jpg
Australian Shepherds,https://en.wikipedia.org/wiki/Australian_Shepherd,"The Australian Shepherd is a breed of herding dog from the United States. The name of the breed is technically a misnomer, as it was developed in California in the 19th century. It is believed to have its origins in sheepdog breeds from northwest Spain, as well as collies imported, alongside sheep, from Australia and New Zealand; the breed reportedly took its name from this trade. Originally used solely as a herding dog, the Australian Shepherd has become one of the most popular companion dog breeds in North America.",australian shepherds.jpg
Yorkshire Terriers,https://en.wikipedia.org/wiki/Yorkshire_Terrier,"The Yorkshire Terrier, also known as a Yorkie, is a British breed of toy dog of terrier type. It is among the smallest of the terriers and indeed of all dog breeds, with a weight of no more than 3.2 kg (7 lb). It originated in the nineteenth century in the English county of Yorkshire, after which it is named. The coat is tan on the head and dark steel-grey on the body; no other colour is accepted by either The Kennel Club or the Fédération Cynologique Internationale.",yorkshire terriers.jpg
Boxers,https://en.wikipedia.org/wiki/Boxer_(dog),"The Boxer is a medium to large, short-haired dog breed of mastiff-type, developed in Germany. The coat is smooth and tight-fitting; colors are fawn or brindled, with or without white markings. Boxers are brachycephalic (they have broad, short skulls), have a square muzzle, mandibular prognathism (an underbite), very strong jaws, and a powerful bite ideal for hanging on to large prey. The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser, which became extinct by crossbreeding rather than by a decadence of the breed. The Boxer is a member of both The Kennel Club and American Kennel Club (AKC) Working Group.",
Great Danes,,,
Siberian Huskies,,,
Cavalier King Charles Spaniels,https://en.wikipedia.org/wiki/Cavalier_King_Charles_Spaniel,"The Cavalier King Charles Spaniel (CKCS) is a British breed of toy dog of spaniel type. Four colours are recognised: Blenheim (chestnut and white), tricolour (black/white/tan), black and tan, and ruby; the coat is smooth and silky. The lifespan is usually between eight and twelve years.",cavalier king charles spaniels.jpg
Doberman Pinschers,,,
Miniature Schnauzers,https://en.wikipedia.org/wiki/Miniature_Schnauzer,"The Miniature Schnauzer is a breed of small dog of the Schnauzer type that originated in Germany in the mid-to-late 19th century. Miniature Schnauzers may have been developed from the smallest specimens of the Standard Schnauzer, or crosses between the standard and one or more smaller breeds such as the Affenpinscher, Miniature Pinscher, and Poodles, as farmers bred a small dog that was an efficient ratting dog. They are described as ""spunky"" but aloof dogs, with good guarding tendencies without some guard dogs' predisposition to bite. Miniature Schnauzers are recognized in four colors internationally: solid black, black and silver, salt and pepper, and white.",miniature schnauzers.jpg
Shih Tzu,https://en.wikipedia.org/wiki/Shih_Tzu,"The Shih Tzu (UK: , US: ) is a toy dog or pet dog breed originating from Tibet and believed to be bred from the Pekingese and the Lhasa Apso.",shih tzu.jpg
Boston Terriers,https://en.wikipedia.org/wiki/Boston_Terrier,"The Boston Terrier is a breed of dog originating in the United States of America. This ""American Gentleman"" was accepted in 1893 by the American Kennel Club as a non-sporting breed. Boston Terriers are small and compact with a short tail and erect ears.",boston terriers.jpg
Bernese Mountain Dogs,https://en.wikipedia.org/wiki/Bernese_Mountain_Dog,"The Bernese Mountain Dog (German: Berner Sennenhund) is a large dog breed from Bern, Switzerland and the Swiss Alps, being one of the four breeds of Sennenhund-type dogs, with roots in the Roman mastiffs. The name Berner (or Bernese in English) refers to the breed's area of origin in the canton of Bern, and Sennenhund is derived from the German Senne (""alpine pasture"") and Hund (""hound/dog""), as they accompanied the alpine herders and dairymen called Senn. This breed was originally kept as a general farm dog and large Sennenhunde in the past were also used as draft animals pulling carts. The breed was officially established in 1912.",bernese mountain dogs.jpg
Pomeranians,https://en.wikipedia.org/wiki/Pomeranian_dog,"The Pomeranian (also known as a Pom, Pommy or Pome) is a breed of dog of the Spitz type that is named for the Pomerania region in north-west Poland and north-east Germany in Central Europe. Classed as a toy dog breed because of its small size, the Pomeranian is descended from larger Spitz-type dogs, specifically the German Spitz.",pomeranians.jpg
Havanese,https://en.wikipedia.org/wiki/Havanese_dog,"The Havanese, a bichon-type dog, is the national dog of Cuba, developed from the now extinct Blanquito de la Habana (""little white dog of Havana""). The Blanquito descended from the also now-extinct Bichón Tenerife. It is believed that the Blanquito was eventually cross-bred with other bichon types, including the poodle, to create what is now known as the Havanese. They are sometimes referred to as ""Havana Silk Dogs"", but this is a separate breed, which has been bred to meet the original Cuban standards.",havanese.jpg
